GUID 1ebdfebca556410a9a0861417c2dc979
Type Vendor
ID 503

Buying 3
// Crowbar
Buying_0_ID 1032
Buying_0_Cost 50
// Gas Can
Buying_1_ID 28
Buying_1_Cost 40
// Stealy Wheely Automobiley
Buying_2_ID 1353
Buying_2_Cost 100


Selling 6
// Carjack
Selling_0_ID 277
Selling_0_Cost 70
// Vehicle Battery
Selling_1_ID 1450
Selling_1_Cost 65
// Tire
Selling_2_ID 1451
Selling_2_Cost 30
// 4 Seater Makeshift Vehicle
Selling_3_ID 1099
Selling_3_Cost 200
// 1 Seater Makeshift Vehicle
Selling_4_ID 1112
Selling_4_Cost 120
// 6 Seater Makeshift Vehicle
Selling_5_ID 1111
Selling_5_Cost 270
